Basic Rights,Description
Equality before law,The State shall not deny to any person equality before the law or the equal protection of the laws within the territory of India
"Prohibition of discrimination on grounds of religion, race, caste, sex or place of birth"," The State shall not discriminate against any citizen on grounds only of religion, race, caste, sex, place of birth or any of them. No citizen shall, on grounds only of religion, race, caste, sex, place of birth or any of them, be subject to any disability, liability, restriction or condition with regard to (a) access to shops, public restaurants, hotels and places of public entertainment; or the use of wells, tanks, bathing ghats, roads and places of public resort maintained wholly or partly out of State funds or dedicated to the use of the general public. Nothing in this article shall prevent the State from making any special provision for women and children."
Equality of opportunity in matters of public employment,"There shall be equality of opportunity for all citizens in matters relating to employment or appointment to any office under the State.
No citizen shall, on grounds only of religion, race, caste, sex, descent, place of birth, residence or any of them, be ineligible for, or discriminated against in respect of, any employment or office under the State.
Nothing in this article shall prevent Parliament from making any law prescribing, in regard to a class or classes of employment or appointment to an office 1  [under the Government of, or any local or other authority within, a State or Union territory, any requirement as to residence within that State or Union territory] prior to such employment or appointment."
Abolition of Untouchability,Untouchability is abolished and its practice in any form is forbidden. The enforcement of any disability arising out of Untouchability  shall be an offence punishable in accordance with law.
Abolition of titles,"No title, not being a military or academic distinction, shall be conferred by the State. No citizen of India shall accept any title from any foreign State.
No person who is not a citizen of India shall, while he holds any office of profit or trust under the State, accept without the consent of the President any title from any foreign State. No person holding any office of profit or trust under the State shall, without the consent of the President, accept any present, emolument, or office of any kind from or under any foreign State. "
"Protection of certain rights regarding freedom of speech, etc","All citizens shall have the right to freedom of speech and expression;  to assemble peaceably and without arms;  to form associations or unions 2 [or co-operative societies]; to move freely throughout the territory of India; to reside and settle in any part of the territory of India;to practise any profession, or to carry on any occupation, trade or business"
Protection in respect of conviction for offences,"No person shall be convicted of any offence except for violation of a law in force at the time of the commission of the Act charged as an offence, nor be subjected to a penalty greater than that which might have been inflicted under the law in force at the time of the commission of the offence.
No person shall be prosecuted and punished for the same offence more than once. No person accused of any offence shall be compelled to be a witness against himself. "
 Protection of life and personal liberty,No person shall be deprived of his life or personal liberty except according to procedure established by law. 
Right to education,"The State shall provide free and compulsory education to all children of the age of six to fourteen years in such manner as the State may, by law, determine."
Protection against arrest and detention in certain cases,"No person who is arrested shall be detained in custody without being informed, as soon as may be, of the grounds for such arrest nor shall he be denied the right to consult, and to be defended by, a legal practitioner of his choice.  Every person who is arrested and detained in custody shall be
produced before the nearest magistrate within a period of twenty-four hours of such arrest excluding the time necessary for the journey from the place of arrest to the court of the magistrate and no such person shall be detained in custody beyond the said period without the authority of a magistrate. "
. Prohibition of traffic in human beings and forced labour,"Traffic in human beings and begar and other similar forms of forced labour are prohibited and any contravention of this provision shall be an offence punishable in accordance with law. Nothing in this article shall prevent the State from imposing compulsory service for public purposes, and in imposing such service the State shall not make any discrimination on grounds only of religion, race, caste or class or any of them"
"Prohibition of employment of children in factories, etc",No child below the age of fourteen years shall be employed to work in any factory or mine or engaged in any other hazardous employment.
"Freedom of conscience and free profession, practice and
propagation of religion","Subject to public order, morality and health and to the other provisions of this Part, all persons are equally entitled to freedom of conscience and the right freely to profess, practice and propagate religion. Nothing in this article shall affect the operation of any existing law or prevent the State from making any law— regulating or restricting any economic, financial, political or other secular activity which may be associated with religious practice; providing for social welfare and reform or the throwing open of Hindu religious institutions of a public character to all classes and sections of Hindus. Explanation I.—The wearing and carrying of kirpans shall be deemed to be included in the profession of the Sikh religion. Explanation II.—In sub-clause (b) of clause (2), the reference to Hindus shall be construed as including a reference to persons professing the Sikh, Jainaor Buddhist religion, and the reference to Hindu religious institutions shall be construed accordingly."
Freedom to manage religious affairs,"Subject to public order, morality and health, every religious denomination or any section thereof shall have the right to establish and maintain institutions for religious and charitable purposes. To manage its own affairs in matters of religion. To own and acquire movable and immovable property; and to administer such property in accordance with law."
"Freedom as to payment of taxes for promotion of any particular
religion.","No person shall be compelled to pay any taxes, the proceeds of which are specifically appropriated in payment of expenses for the promotion or maintenance of any particular religion or religious denomination"
"Freedom as to attendance at religious instruction or religious
worship in certain educational institutions.","No religious instruction shall be provided in any educational institution wholly maintained out of State funds. Nothing in clause shall apply to an educational institution which is administered by the State but has been established under any endowment or trust which requires that religious instruction shall be imparted in such institution. No person attending any educational institution recognised by the State or receiving aid out of State funds shall be required to take part in any religious instruction that may be imparted in such institution or to attend any religious worship that may be conducted in such institution or in any premises attached thereto unless such person or, if such person is a minor, his guardian has given his consent thereto."
Protection of interests of minorities,"Any section of the citizens residing in the territory of India or any part thereof having a distinct language, script or culture of its own shall have the right to conserve the same. No citizen shall be denied admission into any educational institution maintained by the State or receiving aid out of State funds on grounds only of religion, race, caste, language or any of them."
,Fundamental rights
Right to Equality,"This ensures equal treatment before the law and prohibits discrimination on the grounds of religion, race, caste, sex, or place of birth."
Right to Freedom,"This includes freedom of speech and expression, assembly, association, movement, and the right to practice any profession, occupation, trade, or business."
 Right against Exploitation,"This safeguards citizens from being subjected to forced labor, child labor, and human trafficking."
Right to Freedom of Religion,"This guarantees the freedom to profess, practice, and propagate any religion of your choice, while also respecting religious sentiments and maintaining public order."
Cultural and Educational Rights,"These rights protect the interests of minorities and ensure the right to conserve their language, culture, and heritage. Additionally, citizens have the right to access education in a language of their choice."
Right to Constitutional Remedies,This empowers citizens to approach the courts in case their fundamental rights are violated. The courts have the authority to issue suitable orders or directives to protect and enforce these rights.
,Rights as citizen
Right to Life,"You have the right to life, and no one should unlawfully deprive you of it."
Freedom of Expression,"You have the right to express your thoughts, opinions, and ideas, both verbally and in writing, within the bounds of the law."
Freedom of Religion,"You have the right to practice, change, or abstain from any religion or belief."
Freedom of Assembly and Association,"You have the right to gather with others and form organizations or associations for various purposes, as long as it is peaceful and lawful."
Freedom of the Press,You have the right to access information and freedom of the press ensures that information is available to the public.
Right to Privacy,"Your personal and private life should be protected, and government or other entities should not intrude without lawful reason."
Equality Before the Law,Everyone is equal under the law and has the right to equal protection and treatment without discrimination.
Right to Vote,"In democratic countries, you typically have the right to participate in free and fair elections to choose your government representatives."
Right to a Fair Trial,You have the right to a fair and public trial by an impartial tribunal if you are accused of a crime.
Right to Education,Many countries provide access to education for citizens.
Property Rights,You have the right to own property and not to be deprived of it without due process.
Freedom from Torture and Inhumane Treatment,"You have the right not to be subjected to torture, cruel, or degrading treatment."
,Filing Complaint
Identify the appropriate authority,"Determine which authority or organization is responsible for handling complaints related to your specific issue. For example, if it's a criminal offense, approach the local police station. For consumer disputes, you can approach a consumer court or consumer dispute redressal forum."
Gather evidence,"Collect all relevant documents, records, or any other evidence that support your complaint. This may include photographs, videos, receipts, emails, or any other form of proof that substantiates your claim."
Prepare a written complaint,"Draft a detailed, clear, and concise written complaint stating the facts of the matter, along with supporting evidence. Make sure to include your contact information and any other relevant details. If possible, send a copy of the complaint through registered post or maintain proof of delivery."
Submit the complaint,"Submit the complaint to the appropriate authority. Some may have online portals or specific forms for complaint submission. Ensure you follow their prescribed procedure. In certain cases, you may need to pay a nominal fee for filing the complaint."
Follow up and maintain records,"Keep track of any reference numbers, acknowledgment receipts, or any communication related to your complaint. Maintain a chronological record of the entire complaint process, including any follow-up actions or updates."
Seek legal assistance if required,"If your complaint is complex or involves a serious legal matter, it is advisable to consult with a lawyer who can guide you through the legal process and represent your interests effectively."
,Legal Aids
National Legal Services Authority (NALSA):,NALSA is a statutory body that provides legal aid and assistance. You can approach the District Legal Services Authority (DLSA) in your district or Taluk Legal Services Committee (TLSC) at the taluk level to seek legal aid. They have a panel of lawyers who provide free legal services to eligible individuals.
Legal Aid Clinics,Many law colleges and universities in India have legal aid clinics that offer free legal assistance to those in need. Contact the law colleges in your area to inquire about their legal aid clinic services.
State Legal Services Authorities (SLSAs),"Each state in India has its own State Legal Services Authority, which provides legal aid services. You can approach the SLSA in your state or the district-level offices for guidance and support."
Online Legal Aid Platforms,"Some organizations provide online legal aid services, where you can seek legal advice and assistance remotely. They offer guidance through chat, email, or video consultations. Do some research to find reliable online legal aid platforms available in your region."
Non-Governmental Organizations (NGOs),Various NGOs in India work towards providing legal aid services. Check with reputable NGOs operating in your area to inquire about their legal aid initiatives and how to access them.
,Obtain legal documents
Identify the specific legal document you need,"Determine the type of legal document you require. It could be a copy of a court order, a property deed, a birth or marriage certificate, a will, or any other legally important document."
Identify the issuing authority,"Determine the government department, office, or authority responsible for issuing the particular document you need. It could be the municipal corporation, the land revenue office, the registrar of births and deaths, or the court, depending on the document."
Gather required documents,"Find out the specific documents you need to provide in order to obtain the desired legal document. Common requirements include proof of identity, address, and any supporting documents related to the matter."
Fill out application form,Obtain the relevant application form from the issuing authority or download it from their official website. Fill out the form with accurate and complete information.
Pay applicable fees,Find out the applicable fees for obtaining the legal document. Pay the required fees either in cash or through the specified payment mode.
Submit the application,"Submit the filled application form, along with the necessary supporting documents and payment receipt, to the designated office or authority. Make sure to keep copies of all submitted documents and the application receipt for your reference."
Follow up,"Depending on the document and the issuing authority, it may take some time to process your application. Follow up periodically to inquire about the progress of your application and collect the document once it is ready."
Criminal Laws,Criminal laws in India are primarily governed by the Indian Penal Code (IPC)
 Indian Penal Code,A comprehensive legislation that defines various criminal offenses and their punishments.
,keyaspects
Offenses and Punishments,"The IPC categorizes criminal offenses into various sections, addressing crimes against persons, property, public tranquility, morality, and more. Each offense is associated with a specific punishment, which may include imprisonment, fines, or both."
Investigation and Arrest,"When a crime is reported or suspected, the police have the authority to investigate and gather evidence. If there is sufficient evidence to support the involvement of an individual in a crime, they may be arrested, subject to certain legal procedures and safeguards."
Trial and Legal Proceedings,"Criminal trials in India are conducted by courts, and the accused person has the right to a fair trial. The prosecution presents its case, and the accused has the right to defense, legal representation, and the opportunity to produce evidence and witnesses in their favor. The court then examines the evidence and delivers a verdict."
Bail,"An accused person may apply for bail during the trial, which allows them temporary release from custody while the trial is ongoing. The grant of bail depends on various factors such as the severity of the offense, the likelihood of the accused absconding, and the availability of supporting evidence."
Sentencing and Appeals,"If the accused person is found guilty, the court determines the appropriate punishment based on the severity of the offense. The convicted person has the right to appeal to a higher court if they believe there were legal errors or irregularities in the trial or if they have new evidence to present."
Juvenile Justice,"Special laws and procedures are in place to deal with offenses committed by individuals under the age of 18 years, emphasizing their reform and rehabilitation rather than punishment."
,crimes
Offenses against Persons,Murder (Section 302 IPC) - Manslaughter (Section 304 IPC) - Rape (Section 376 IPC) - Assault (Section 351 IPC)
Offenses against Property,Theft (Section 378 IPC) - Robbery (Section 390 IPC) - Burglary (Section 445 IPC) - Criminal Trespass (Section 441 IPC)
Offenses against Public Order,Rioting (Section 146 IPC) - Unlawful Assembly (Section 141 IPC) - Promoting enmity between different groups (Section 153A IPC)
Offenses against Morality,Dowry harassment (Section 498A IPC) - Obscenity (Section 292 IPC) - Adultery (Section 497 IPC)
Offenses against the State,Sedition (Section 124A IPC) - Waging war against the country (Section 121 IPC) - Conspiracy (Section 120B IPC)
Offenses related to Fraud,Cheating (Section 415 IPC) - Forgery (Section 463 IPC) - Counterfeiting (Section 482 IPC)
,family laws
Domestic Violence,"Domestic violence, including physical, emotional, or sexual abuse within a domestic setting, is both a criminal offense and a significant concern under family laws. The Protection of Women from Domestic Violence Act, 2005, offers legal protection and remedies for victims of domestic violence."
Dowry-related Offenses,"The dowry system, although illegal, persists in some parts of India. Dowry-related offenses, such as dowry harassment, cruelty, or dowry deaths, are criminal offenses and are addressed under family laws, such as Section 498A of the Indian Penal Code."
Marital Rape,"Non-consensual sexual acts within a marital relationship can be considered a criminal offense. Although marital rape is not explicitly recognized under the Indian Penal Code, it can be addressed through other legal provisions, such as the Protection of Women from Domestic Violence Act and the Sexual Harassment of Women at Workplace (Prevention, Prohibition and Redressal) Act."
Child Abuse,"Any form of abuse or harm inflicted on a child, whether physical, sexual, or emotional, is both a criminal act and falls under the purview of family laws. Acts related to child abuse are addressed under the Protection of Children from Sexual Offenses (POCSO) Act, Juvenile Justice Act, and other relevant legislation."
,property laws
Theft,Theft involves the unlawful taking of someone else's movable property without their consent. It is a criminal offense punishable under Section 378 of the Indian Penal Code (IPC).
Robbery,"Robbery refers to the use of force, threat, or violence to commit theft. It involves the theft of property from a person directly, and it is covered under Section 390 of the IPC."
Burglary,"Burglary occurs when a person unlawfully enters a building or premise with the intention to commit a theft or any other offense. It involves the unauthorized entry into property, and it is governed by Section 445 of the IPC."
Criminal Trespass,Criminal trespass is the unlawful intrusion onto another person's property without their permission. It may involve entering or remaining on the property against the owner's wishes. Criminal trespass is covered by Section 441 of the IPC.
Misappropriation of Property,"Misappropriation involves dishonestly taking or using someone else's property for one's own benefit, without their consent. This offense is usually covered under specific statutes, such as misappropriation by employees under the Indian Penal Code or the Companies Act."
Forgery,Forgery is the creation or alteration of a document (such as a property deed) with the intention to deceive or defraud others. It is a criminal offense under Section 463 of the IPC.
